date,import_cases,nondorm_cases_scpr,nondorm_cases,dorm_cases
2020-03-11,8,2,4,0
2020-03-12,5,3,4,0
2020-03-13,9,4,4,0
2020-03-14,9,2,3,0
2020-03-15,9,4,5,0
2020-03-16,11,5,6,0
2020-03-17,17,4,6,0
2020-03-18,33,11,14,0
2020-03-19,24,6,8,0
2020-03-20,30,9,10,0
2020-03-21,39,8,8,0
2020-03-22,18,5,5,0
2020-03-23,48,3,6,0
2020-03-24,32,15,17,0
2020-03-25,38,25,35,0
2020-03-26,28,13,24,0
2020-03-27,22,19,27,0
2020-03-28,41,18,29,0
2020-03-29,24,12,18,0
2020-03-30,9,16,24,2
2020-03-31,16,19,27,4
2020-04-01,20,34,44,10
2020-04-02,8,27,36,5
2020-04-03,9,25,39,17
2020-04-04,6,30,49,20
2020-04-05,4,38,64,52
2020-04-06,1,24,31,34
2020-04-07,3,38,46,57
2020-04-08,2,58,66,74
2020-04-09,3,45,56,228
2020-04-10,0,42,57,141
2020-04-11,0,27,39,152
2020-04-12,0,26,45,188
2020-04-13,0,39,52,334
2020-04-14,0,40,59,275
2020-04-15,0,37,41,406
2020-04-16,0,26,52,676
2020-04-17,1,26,63,559
2020-04-18,0,22,49,893
2020-04-19,0,30,52,544
2020-04-20,0,25,55,1371
2020-04-21,0,28,61,1050
